Mass energy-absorption coefficients mu_en/rho for air, in units of cm^2/g.

Air (dry, near sea level). NIST Standard Reference Database 126: X-Ray Mass
Attenuation Coefficients, Table 4 (doi: 10.18434/T4D01F), fetched from
https://physics.nist.gov/PhysRefData/XrayMassCoef/ComTab/air.html by
tools/fetch_dose_data.py. The K edge of argon is two rows at the same energy:
the first holds the value below the edge, the second the value above it.

Energy (eV)     mu_en/rho (cm^2/g)
       1000  3599
       1500  1188
       2000  526.2
       3000  161.4
     3202.9  133
     3202.9  146
       4000  76.36
       5000  39.31
       6000  22.7
       8000  9.446
      10000  4.742
      15000  1.334
      20000  0.5389
      30000  0.1537
      40000  0.06833
      50000  0.04098
      60000  0.03041
      80000  0.02407
     100000  0.02325
     150000  0.02496
     200000  0.02672
     300000  0.02872
     400000  0.02949
     500000  0.02966
     600000  0.02953
     800000  0.02882
    1000000  0.02789
    1250000  0.02666
    1500000  0.02547
    2000000  0.02345
    3000000  0.02057
    4000000  0.0187
    5000000  0.0174
    6000000  0.01647
    8000000  0.01525
   10000000  0.0145
   15000000  0.01353
   20000000  0.01311
